,name,isVerified,rating,reviews,company_type,salaries,jobs
281,HDFC Sales,0,4.0,(2.4k),Financial Services,7.9k,29
282,Capita,0,3.6,(2.4k),IT Services & Consulting,13.7k,56
283,Flex,1,4.0,(2.4k),Electronics Manufacturing,16.6k,137
284,Sahrudaya Healthcare (Medicover Hospitals),1,4.5,(2.4k),Healthcare,3.1k,31
285,Nokia,0,4.1,(2.5k),Telecom,15.1k,35
286,MSN Laboratories,1,3.7,(2.4k),Pharma,8.5k,48
287,ElasticRun,1,3.5,(2.4k),Logistics,6.3k,6
288,Fiserv,0,3.0,(2.4k),FinTech,18.4k,38
289,PhonePe,0,4.0,(2.4k),FinTech,10.3k,139
290,Apollo Tyres,0,4.0,(2.4k),Auto Components,9.5k,3
291,Nestle,1,3.9,(2.4k),FMCG,9.3k,75
292,IKS Health,1,3.6,(2.4k),BPO,10.2k,47
293,Statestreet HCL Services,0,3.3,(2.3k),BPO,16k,--
294,GATI-KWE,0,3.9,(2.3k),Logistics,5.6k,4
295,Suzlon Group,0,4.1,(2.3k),Power,7.4k,37
296,Zomato,1,3.8,(2.4k),Internet,13k,2
297,Landmark Group,1,4.0,(2.3k),Retail,9.2k,1
298,AGS Health,1,4.0,(2.3k),Analytics & KPO,10.6k,27
299,IDFC FIRST Bharat,0,4.4,(2.3k),Financial Services,4.6k,1
300,Sammaan Capital Limited,1,3.7,(2.3k),NBFC,7.3k,21
301,Blue Dart Express,0,4.0,(2.3k),Logistics,6.4k,4
302,BlackBuck,1,3.8,(2.3k),Internet,6.5k,8
303,Fujitsu,0,3.8,(2.3k),IT Services & Consulting,16.3k,82
304,DS Group,1,4.1,(2.3k),FMCG,6.8k,34
305,Paras Hospital,1,4.4,(2.3k),Healthcare,3k,24
306,Yazaki,0,3.8,(2.3k),Auto Components,8.2k,7
307,Shree Cement,0,3.8,(2.3k),Building Material,9.3k,--
308,Domino's Pizza,0,3.9,(2.3k),New Delhi +229 other locations,4.3k,--
309,Tata Elxsi,1,3.8,(2.3k),IT Services & Consulting,19.5k,32
310,XpressBees,1,3.6,(2.3k),Pune +260 other locations,7.7k,4
311,Bajaj Electricals,1,4.0,(2.2k),Consumer Electronics & Appliances,7.8k,37
312,Britannia,0,4.0,(2.3k),FMCG,7.7k,11
313,Micro Labs,0,3.6,(2.2k),Pharma,9.5k,13
314,KPMG Global Services,0,3.5,(2.3k),Management Consulting,20.1k,--
315,Sterlite Technologies,0,3.8,(2.2k),Hardware & Networking,10.2k,42
316,Exide Industries,0,3.5,(2.2k),Auto Components,8k,54
317,G4S,0,4.0,(2.2k),Law Enforcement & Security,4.9k,22
318,Indus Towers,1,3.8,(2.2k),Hardware & Networking,8.1k,35
319,KocharTech,1,3.9,(2.2k),IT Services & Consulting,3.9k,44
320,Axis Direct,0,3.8,(2.2k),Financial Services,5.3k,21
321,TVS Supply Chain Solutions,0,3.8,(2.2k),Chennai +142 other locations,8.2k,1
322,Voltas,1,4.0,(2.2k),Consumer Electronics & Appliances,8.3k,3
323,Capgemini Engineering,0,3.5,(2.2k),IT Services & Consulting,16.8k,267
324,McDonald's,0,4.1,(2.2k),New Delhi +142 other locations,4.7k,2
325,VVDN Technologies,0,3.6,(2.2k),IT Services & Consulting,11.8k,10
326,KFintech,0,3.5,(2.2k),FinTech,10k,15
327,Jindal Stainless,0,4.2,(2.2k),Iron & Steel,10k,4
328,ZS,1,3.3,(2.2k),Management Consulting,16.7k,157
329,Patanjali Ayurved,0,3.9,(2.2k),FMCG,6.4k,--
330,Alldigi Tech,1,4.0,(2.2k),BPO,7k,28
331,Blinkit,0,3.7,(2.2k),Internet,9.5k,--
332,Fortis Healthcare,1,4.0,(2.2k),Healthcare,7.4k,84
333,Dalmia Bharat Cement,0,4.0,(2.2k),Building Material,8.3k,1
334,Tractors and Farm Equipment,0,4.0,(2.1k),Industrial Machinery,8.2k,23
335,SRF,0,4.1,(2.2k),Chemicals,8.1k,13
336,Shell,0,4.0,(2.2k),Oil & Gas,13.3k,9
337,Blue Star,1,4.1,(2.1k),Consumer Electronics & Appliances,9.2k,24
338,ACT Fibernet,0,4.0,(2.1k),Telecom,7.5k,52
339,NoBroker,1,3.2,(2.1k),Real Estate,9.4k,72
340,Movate,1,3.3,(2.1k),IT Services & Consulting,13.9k,76
341,Himalaya Wellness,0,4.1,(2.1k),Bangalore / Bengaluru +210 other locations,5.9k,9
342,Taj Hotels Resorts and Palaces,0,4.2,(2.1k),Mumbai +102 other locations,4.8k,--
343,Sonalika Tractors,0,3.7,(2.1k),Automobile,8.4k,--
344,Huawei Technologies,0,4.0,(2.1k),Telecom,10k,--
345,Kansai Nerolac Paints,0,3.8,(2.1k),Chemicals,6.9k,4
346,Ajanta Pharma,0,4.0,(2.1k),Pharma,8.6k,36
347,V-Mart,1,4.1,(2.1k),Retail,4.3k,21
348,Datamatics Global Services,1,3.4,(2.1k),IT Services & Consulting,11.6k,98
349,Foundever,1,3.6,(2.1k),BPO,7.7k,121
350,Lava International,1,4.0,(2k),Consumer Electronics & Appliances,4.7k,6
351,Info Edge,1,3.9,(2k),Internet,11.1k,391
352,Mahindra Rural Housing Finance,0,4.0,(2k),NBFC,4.9k,15
353,suzuki motor gujarat,0,4.2,(2k),Automobile,7.3k,11
354,Akums Drugs & Pharmaceuticals Limited,1,4.4,(2k),Pharma,6k,11
355,Simplex Infrastructures,1,3.3,(2k),Engineering & Construction,5.7k,--
356,Lifestyle,0,4.3,(2k),Retail,7k,13
357,Aditya Birla Group,0,4.1,(2k),Building Material,10.1k,1
358,3i Infotech,1,3.4,(2k),IT Services & Consulting,10.8k,65
359,MagicBricks,1,4.4,(1.8k),Internet,4.2k,44
360,Unacademy,1,3.0,(2k),EdTech,9.7k,134
361,Cholamandalam MS General Insurance,0,3.8,(2k),Insurance,5.8k,--
362,Gallagher,1,3.7,(2k),Insurance,12k,29
363,ESAF Small Finance Bank,0,3.7,(2k),Banking,6.7k,7
